Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,AGG,Risk_Free
7/31/21,-0.00718207,-0.00264,0.016911,0.007259,0.0112,0.00004167
8/31/21,0.05518411,0.07041,0.028518,-0.001374,-0.00201,0.00005000
9/30/21,-0.04641898,-0.05284,-0.044868,-0.005817,-0.00917,0.00003333
10/31/21,0.07699426,0.05464,0.067625,-0.004453,-0.000095,0.00003333
11/30/21,0.0328792,0.01287,-0.015221,0.002295,0.00271,0.00004167
12/31/21,0.08746537,0.09417,0.039379,-0.00265,-0.0036,0.00004167
1/31/22,-0.01708349,-0.00521,-0.058836,-0.012252,-0.019986,0.00005000
2/28/22,-0.02653171,-0.02449,-0.025189,-0.004497,-0.011452,0.00020000
3/31/22,0.04175146,0.03508,0.032436,-0.023284,-0.028133,0.00030833
4/30/22,-0.00212244,0.00352,-0.089742,-0.016732,-0.038058,0.00042500
5/31/22,0.00277284,0.00661,-0.001341,0.00678,0.007618,0.00069167
6/30/22,-0.03521526,-0.02144,-0.083659,-0.008082,-0.015522,0.00094167
7/31/22,0.01007521,0.00404,0.093818,0.013589,0.025362,0.00138333
8/31/22,-0.02468792,-0.01984,-0.037319,-0.018778,-0.030425,0.00195000
9/30/22,-0.07303347,-0.07858,-0.092729,-0.023774,-0.041437,0.00239167
10/31/22,0.08647141,0.07997,0.082006,-0.004904,-0.012806,0.00268333
11/30/22,0.05183139,0.05137,0.052196,0.017576,0.038081,0.00338333
12/31/22,-0.0138295,-0.01121,-0.058553,-0.003239,-0.008727,0.00355833
1/31/23,-0.01271639,-0.01368,0.068873,0.016979,0.033302,0.00358333
2/28/23,-0.02877384,-0.03373,-0.023373,-0.016051,-0.02667,0.00381667
3/31/23,0.03391302,0.03845,0.026739,0.023006,0.026424,0.00393333
4/30/23,0.02558213,0.02816,0.010654,0.004552,0.005742,0.00390000
5/31/23,-0.05225282,-0.05611,0.003891,-0.006876,-0.011415,0.00412500
6/30/23,0.03486936,0.03395,0.068285,-0.007213,-0.003693,0.00438333
7/31/23,0.02400021,0.0206,0.035847,0.000884,-0.000153,0.00430833
8/31/23,-0.00124849,0.00908,-0.019304,0.000257,-0.006299,0.00440000
9/30/23,-0.05075406,-0.04935,-0.047634,-0.010292,-0.025878,0.00443333
10/31/23,0.02149163,0.02325,-0.026509,-0.00383,-0.015684,0.00443333
11/30/23,0.03910492,0.03791,0.093248,0.022926,0.04589,0.00444167
12/31/23,0.01291173,0.0175,0.053042,0.020393,0.036927,0.00437500
1/31/24,0.03201892,0.03189,0.011083,0.002587,-0.001511,0.00433333
2/29/24,0.02042154,0.02006,0.054131,-0.009655,-0.01476,0.00435000
3/31/24,0.00261769,-0.00767,0.032257,0.004692,0.009013,0.00437500
4/30/24,-0.00140416,0.00284,-0.044002,-0.012341,-0.024759,0.00435833
5/31/24,0.02051616,0.02276,0.047247,0.010868,0.016682,0.00437500
6/30/24,0.00021648,0.00451,0.030957,0.007788,0.008834,0.00437500
7/31/24,0.04557189,0.03578,0.018589,0.017591,0.024208,0.00435000
8/31/24,0.06308327,0.06791,0.021769,0.010996,0.014599,0.00429167
9/30/24,0.01303967,0.0173,0.020686,0.009776,0.013314,0.00415000
10/31/24,-0.01666448,-0.02173,-0.007344,-0.015313,-0.025192,0.00376667
11/30/24,0.04089931,0.03803,0.066524,0.005809,0.011125,0.00370000
12/31/24,-0.06065439,-0.05807,-0.030565,-0.006199,-0.016912,0.00365833
1/31/25,0.02905869,0.02554,0.031568,0.006441,0.00516,0.00352500
2/28/25,0.06580046,0.07006,-0.019164,0.021754,0.022374,0.00350000
3/31/25,0.01274326,0.02288,-0.05833,0.000598,-0.000267,0.00350000
4/30/25,-0.01385107,-0.01774,-0.006709,0.006475,0.0043,0.00350833
5/31/25,-0.000045,-0.00291,0.063386,-0.002204,-0.006058,0.00350000
,,,,,,
,,,,,,
,,,,,,
