Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,,Risk_Free
12/31/09,0.07636261,0.08030000,0.02849700,-0.02037500,-0.01881500,0.00005000
1/31/10,-0.07299896,-0.07556000,-0.03604800,0.01459000,0.01414900,0.00005000
2/28/10,0.04840626,0.04629000,0.03390200,0.00291200,0.00199000,0.00006670
3/31/10,0.09503472,0.12231000,0.06302700,-0.00562100,-0.00007100,0.00010833
4/30/10,0.04169638,0.04007000,0.02158100,0.00893900,0.00973400,0.00013333
5/31/10,-0.05054457,-0.03338000,-0.07899700,0.01246800,0.01082600,0.00013333
6/30/10,-0.05810846,-0.04550000,-0.05748800,0.01683300,0.01767800,0.00013333
7/31/10,0.08121122,0.09069000,0.06942200,0.00762000,0.00855300,0.00015000
8/31/10,-0.06437926,-0.05040000,-0.04707300,0.01151100,0.01286700,0.00012500
9/30/10,0.15054309,0.12894000,0.09441700,0.00161300,0.00008400,0.00011667
10/31/10,0.05101786,0.05262000,0.03907700,0.00276800,0.00152100,0.00013333
11/30/10,0.06098844,0.06822000,0.00577300,-0.00477200,-0.00835200,0.00010000
12/31/10,0.05080213,0.03097000,0.06778900,-0.01764700,-0.00671000,0.00014167
1/31/11,0.01207806,0.02473000,0.02184200,0.00552000,-0.00085100,0.00010000
2/28/11,0.06133712,0.05689000,0.03640800,0.00340100,0.00291300,0.00012500
3/31/11,0.03959777,0.03579000,0.00451100,-0.00339700,-0.00222800,0.00012500
4/30/11,0.04645382,0.04839000,0.02976500,0.01247000,0.01567400,0.00007500
5/31/11,-0.01363574,-0.01022000,-0.01141000,0.01027900,0.01239800,0.00003330
6/30/11,0.00594589,0.00988000,-0.01795900,-0.00125400,-0.00446700,0.00005000
7/31/11,-0.02340305,-0.03388000,-0.02290000,0.01147700,0.01686100,0.00002500
8/31/11,-0.06161316,-0.06320000,-0.05999500,0.01586300,0.01519800,0.00008330
9/30/11,-0.01711022,-0.01589000,-0.07759600,0.00390300,0.00770000,0.00001670
10/31/11,0.03748145,0.03177000,0.11509300,-0.00234400,0.00126000,0.00001670
11/30/11,0.01877053,0.01858000,-0.00270300,0.00130800,-0.00332400,0.00000833
12/31/11,0.03862152,0.03973000,0.00821900,0.00617700,0.01356300,0.00000833
1/31/12,0.01913988,0.02590000,0.05046300,0.01647500,0.00725600,0.00001670
2/29/12,0.08114526,0.09219000,0.04230300,0.00431400,-0.00013100,0.00005000
3/31/12,0.04954826,0.05048000,0.03084700,-0.01065600,-0.00572800,0.00006670
4/30/12,-0.00060760,0.00098000,-0.00655900,0.01518800,0.00906100,0.00005830
5/31/12,-0.05912956,-0.05643000,-0.06181900,0.01115300,0.01078600,0.00008330
6/30/12,0.02821594,0.03089000,0.03916500,0.00470600,-0.00020000,0.00005830
7/31/12,-0.01094601,-0.00286000,0.00990500,0.02090200,0.01361900,0.00007500
8/31/12,0.02843912,0.03278000,0.02495800,0.00126800,0.00000300,0.00009170
9/30/12,0.01147984,0.00017000,0.02626000,0.00629800,0.00264400,0.00007500
10/31/12,-0.03416758,-0.03696000,-0.01724900,0.00517800,-0.00045400,0.00008330
11/30/12,0.01495701,0.01737000,0.00774400,0.00427000,0.00270600,0.00009170
12/31/12,0.00019928,-0.01228000,0.01225500,-0.00270900,-0.00244900,0.00006670
1/31/13,0.06496998,0.05603000,0.05487100,-0.00318000,-0.00621200,0.00004170
2/28/13,0.00959480,0.00390000,0.01325200,0.00416200,0.00591700,0.00005830
3/31/13,0.05685756,0.05915000,0.03918700,0.00072200,0.00098900,0.00009170
4/30/13,0.01603960,0.01743000,0.01636900,0.00560100,0.00968700,0.00005830
5/31/13,0.05705036,0.06876000,0.02359100,-0.01074300,-0.02001600,0.00004170
6/30/13,-0.02166197,-0.02585000,-0.01297000,-0.00928900,-0.01565300,0.00003330
7/31/13,0.10100181,0.11723000,0.05480800,0.00159600,0.00268500,0.00003330
8/31/13,-0.01862567,-0.03348000,-0.02791600,-0.00521700,-0.00825700,0.00003330
9/30/13,0.05899858,0.05446000,0.03717600,0.00759900,0.01121200,0.00002500
10/31/13,0.01864756,0.02909000,0.04247800,0.00371500,0.00831600,0.00001670
11/30/13,0.04094574,0.02908000,0.02902100,-0.00095300,-0.00249100,0.00003330
12/31/13,0.01971788,0.01683000,0.02638300,-0.00765100,-0.00556100,0.00005000
1/31/14,-0.01303633,-0.01805000,-0.03159400,0.01047700,0.01540900,0.00005830
2/28/14,0.07228374,0.07703000,0.04743600,0.00190900,0.00375500,0.00001670
3/31/14,-0.05284146,-0.06612000,0.00530800,-0.00321500,-0.00148500,0.00004170
4/30/14,-0.03222738,-0.04148000,0.00121400,0.00358200,0.00821900,0.00004170
5/31/14,0.01822392,0.03479000,0.02182100,0.00682900,0.01179100,0.00002500
6/30/14,0.06186333,0.06585000,0.02508200,-0.00079500,-0.00056900,0.00003330
7/31/14,-0.04266800,-0.03896000,-0.01972700,-0.00195600,-0.00251100,0.00003330
8/31/14,0.07331998,0.08195000,0.04195500,0.00678700,0.01149000,0.00002500
9/30/14,-0.03124465,-0.01819000,-0.02084500,-0.00346000,-0.00614600,0.00002500
10/31/14,0.00972514,0.00269000,0.02751300,0.00653000,0.01063100,0.00001670
11/30/14,0.01875491,0.00816000,0.02423400,0.00473500,0.00657300,0.00000833
12/31/14,-0.00090178,0.00665000,-0.00001100,-0.00148600,0.00148100,0.00001670
1/31/15,0.00509217,0.00359000,-0.02783200,0.01660400,0.02052300,0.00003330
2/28/15,0.00836507,0.00615000,0.05790100,-0.00915600,-0.00894700,0.00001670
3/31/15,-0.01917567,-0.02287000,-0.01016600,0.00492400,0.00375300,0.00001670
4/30/15,-0.04295304,-0.03539000,0.00452300,-0.00171100,-0.00323600,0.00002500
5/31/15,0.04285673,0.04737000,0.01383100,-0.00342300,-0.00436800,0.00000833
6/30/15,0.00233178,-0.00160000,-0.01673000,-0.01483300,-0.01075900,0.00000833
7/31/15,0.03939084,0.05031000,0.01672500,0.00835000,0.00863100,0.00000833
8/31/15,-0.06317649,-0.06977000,-0.06037000,-0.00386500,-0.00336100,0.00006670
9/30/15,0.02660740,0.02902000,-0.02914000,0.00902500,0.00811200,0.00006670
10/31/15,0.03324901,0.04124000,0.07898500,0.00322000,0.00068500,-0.00000833
11/30/15,-0.00464313,-0.00531000,0.00554400,-0.00458500,-0.00389000,0.00006670
12/31/15,-0.02776100,-0.02138000,-0.02052500,-0.00768300,-0.00192800,0.00018333
1/31/16,-0.03581885,-0.06563000,-0.05642500,0.01315400,0.01240600,0.00013333
2/29/16,0.01080616,0.01691000,-0.00032200,0.00381400,0.00887300,0.00026667
3/31/16,0.05959628,0.05752000,0.07040600,0.00242400,0.00870300,0.00027500
4/30/16,-0.01138240,-0.01397000,0.00619800,0.00019400,0.00259200,0.00017500
5/31/16,0.03007361,0.03268000,0.01789000,-0.00159600,0.00013900,0.00018333
6/30/16,0.05554084,0.05090000,0.00205600,0.02715100,0.01930900,0.00028333
7/31/16,0.00159065,-0.00205000,0.03968700,0.00703700,0.00548900,0.00021667
8/31/16,-0.01711242,-0.01180000,0.00255100,-0.00253600,-0.00215200,0.00022500
9/30/16,-0.00225790,0.00179000,0.00157200,0.00109900,0.00051100,0.00027500
10/31/16,-0.06459148,-0.06986000,-0.02163600,-0.01072900,-0.00816800,0.00023333
11/30/16,0.08242793,0.09105000,0.04475200,-0.03107000,-0.02565600,0.00028333
12/31/16,-0.00047113,-0.00931000,0.01951300,0.00392500,0.00254400,0.00040000
1/31/17,0.04681442,0.04126000,0.01882200,0.00227700,0.00212800,0.00041667
2/28/17,0.06010612,0.05487000,0.03719200,0.00288800,0.00646200,0.00043333
3/31/17,0.02164097,0.02393000,0.00068000,0.00085200,-0.00054100,0.00044167
4/30/17,-0.01412575,-0.00995000,0.01060000,0.00515100,0.00906600,0.00062500
5/31/17,0.02891826,0.03012000,0.01023400,0.00358300,0.00687800,0.00065833
6/30/17,-0.00597556,-0.00303000,0.00902400,-0.00190000,-0.00018000,0.00080000
7/31/17,0.04233196,0.04190000,0.01885500,0.00325000,0.00334500,0.00084167
8/31/17,0.02596771,0.03201000,0.00192700,0.00579100,0.00940600,0.00087500
9/30/17,-0.01278246,-0.02184000,0.02438800,-0.00561200,-0.00571300,0.00082500
10/31/17,0.05073560,0.05972000,0.02182200,-0.00096900,0.00098000,0.00086667
11/30/17,0.02029647,0.01623000,0.03036500,-0.00250400,-0.00148400,0.00094167
12/31/17,0.01176785,0.01771000,0.00999500,0.00021200,0.00474800,0.00104167
1/31/18,0.07325843,0.08634000,0.05271100,-0.00854300,-0.01125000,0.00114167
2/28/18,-0.01026037,-0.01241000,-0.03686000,-0.00377500,-0.01008200,0.00120000
3/31/18,0.04692420,0.05055000,-0.02007400,0.00435100,0.00671000,0.00135833
4/30/18,-0.01251363,-0.01413000,0.00380100,-0.00473700,-0.00940500,0.00141667
5/31/18,0.00729737,0.00251000,0.02823000,0.00513600,0.00662100,0.00153333
6/30/18,-0.02549938,-0.03420000,0.00654000,0.00078700,0.00103200,0.00157500
7/31/18,0.00731723,0.01066000,0.03318600,-0.00112200,-0.00028900,0.00157500
8/31/18,0.11172828,0.11739000,0.03511800,0.00518900,0.00568500,0.00165833
9/30/18,-0.01794253,-0.02168000,0.00165500,-0.00418500,-0.00619100,0.00172500
10/31/18,0.00699552,0.00792000,-0.07363300,-0.00016000,-0.00644400,0.00179167
11/30/18,0.05857922,0.06053000,0.02002900,0.00612900,0.00523600,0.00190833
12/31/18,-0.04992982,-0.04932000,-0.09306900,0.01404000,0.01980200,0.00193333
1/31/19,0.04495734,0.04802000,0.08583400,0.00528400,0.00910900,0.00200000
2/28/19,0.02085477,0.02099000,0.03516900,-0.00065400,-0.00113000,0.00196667
3/31/19,0.04561927,0.04438000,0.01460200,0.01305300,0.02122900,0.00200000
4/30/19,0.02793641,0.04186000,0.03993200,-0.00011400,-0.00199300,0.00195833
5/31/19,-0.04883865,-0.05883000,-0.06471200,0.01407400,0.01911000,0.00198333
6/30/19,0.03836690,0.04365000,0.07023700,0.00773800,0.01098200,0.00191667
7/31/19,0.01436514,0.01656000,0.01486500,0.00003900,0.00181600,0.00173333
8/31/19,0.04649392,0.03887000,-0.02038500,0.01753400,0.02781300,0.00170000
9/30/19,0.01359362,0.01583000,0.01755100,-0.00465800,-0.00611800,0.00162500
10/31/19,-0.00924217,-0.00742000,0.02152700,0.00338900,0.00208000,0.00153333
11/30/19,-0.01431360,-0.00472000,0.03801200,-0.00229100,-0.00034300,0.00125833
12/31/19,0.02786035,0.03029000,0.02887400,0.00121400,-0.00047400,0.00130000
1/31/20,0.07164780,0.06775000,-0.00109200,0.02347300,0.02029000,0.00126667
2/29/20,-0.08234618,-0.08277000,-0.08187300,0.01432200,0.01585100,0.00126667
3/31/20,-0.10486828,-0.10149000,-0.13751800,0.01483500,-0.00526700,0.00104167
4/30/20,0.06034857,0.05511000,0.13244000,0.00483500,0.01720000,0.00009167
5/31/20,0.02824026,0.03452000,0.05347800,0.00379400,0.00672800,0.00007500
6/30/20,-0.01610343,-0.02740000,0.02286200,0.00160200,0.00658800,0.00011667
7/31/20,0.05314104,0.05430000,0.05678300,0.00419100,0.01333000,0.00013333
8/31/20,0.08043739,0.10328000,0.07244400,-0.00684200,-0.00823400,0.00007500
9/30/20,-0.01062258,0.00432000,-0.03641100,0.00329300,-0.00097500,0.00009167
10/31/20,0.00612577,0.02035000,-0.02158300,-0.00412600,-0.00559000,0.00008333
11/30/20,0.06011469,0.04902000,0.12165300,0.01805300,0.01206500,0.00007500
12/31/20,0.06482562,0.05357000,0.04498800,0.00279700,0.00086500,0.00006667
1/31/21,0.01730055,0.00357000,-0.00444800,-0.00295100,-0.00744600,0.00007500
2/28/21,-0.05744497,-0.08259000,0.03125700,-0.00802600,-0.01518300,0.00005000
3/31/21,-0.02838553,-0.03648000,0.03584300,-0.00700900,-0.01150000,0.00003333
4/30/21,0.06340793,0.05258000,0.05154900,0.00387100,0.00731700,0.00002500
5/31/21,0.01572837,0.01160000,0.00456500,0.00230000,0.00203000,0.00000833
6/30/21,0.01576020,0.02493000,0.02465900,0.00112900,0.00828000,0.00000833
7/31/21,-0.00718207,-0.00264000,0.01691100,0.00725900,0.01120000,0.00004167
8/31/21,0.05518411,0.07041000,0.02851800,-0.00137400,-0.00201000,0.00005000
9/30/21,-0.04641898,-0.05284000,-0.04486800,-0.00581700,-0.00917000,0.00003333
10/31/21,0.07699426,0.05464000,0.06762500,-0.00445300,-0.00009500,0.00003333
11/30/21,0.03287920,0.01287000,-0.01522100,0.00229500,0.00271000,0.00004167
12/31/21,0.08746537,0.09417000,0.03937900,-0.00265000,-0.00360000,0.00004167
1/31/22,-0.01708349,-0.00521000,-0.05883600,-0.01225200,-0.01998600,0.00005000
2/28/22,-0.02653171,-0.02449000,-0.02518900,-0.00449700,-0.01145200,0.00020000
3/31/22,0.04175146,0.03508000,0.03243600,-0.02328400,-0.02813300,0.00030833
4/30/22,-0.00212244,0.00352000,-0.08974200,-0.01673200,-0.03805800,0.00042500
5/31/22,0.00277284,0.00661000,-0.00134100,0.00678000,0.00761800,0.00069167
6/30/22,-0.03521526,-0.02144000,-0.08365900,-0.00808200,-0.01552200,0.00094167
7/31/22,0.01007521,0.00404000,0.09381800,0.01358900,0.02536200,0.00138333
8/31/22,-0.02468792,-0.01984000,-0.03731900,-0.01877800,-0.03042500,0.00195000
9/30/22,-0.07303347,-0.07858000,-0.09272900,-0.02377400,-0.04143700,0.00239167
10/31/22,0.08647141,0.07997000,0.08200600,-0.00490400,-0.01280600,0.00268333
11/30/22,0.05183139,0.05137000,0.05219600,0.01757600,0.03808100,0.00338333
12/31/22,-0.01382950,-0.01121000,-0.05855300,-0.00323900,-0.00872700,0.00355833
1/31/23,-0.01271639,-0.01368000,0.06887300,0.01697900,0.03330200,0.00358333
2/28/23,-0.02877384,-0.03373000,-0.02337300,-0.01605100,-0.02667000,0.00381667
3/31/23,0.03391302,0.03845000,0.02673900,0.02300600,0.02642400,0.00393333
4/30/23,0.02558213,0.02816000,0.01065400,0.00455200,0.00574200,0.00390000
5/31/23,-0.05225282,-0.05611000,0.00389100,-0.00687600,-0.01141500,0.00412500
6/30/23,0.03486936,0.03395000,0.06828500,-0.00721300,-0.00369300,0.00438333
7/31/23,0.02400021,0.02060000,0.03584700,0.00088400,-0.00015300,0.00430833
8/31/23,-0.00124849,0.00908000,-0.01930400,0.00025700,-0.00629900,0.00440000
9/30/23,-0.05075406,-0.04935000,-0.04763400,-0.01029200,-0.02587800,0.00443333
10/31/23,0.02149163,0.02325000,-0.02650900,-0.00383000,-0.01568400,0.00443333
11/30/23,0.03910492,0.03791000,0.09324800,0.02292600,0.04589000,0.00444167
12/31/23,0.01291173,0.01750000,0.05304200,0.02039300,0.03692700,0.00437500
1/31/24,0.03201892,0.03189000,0.01108300,0.00258700,-0.00151100,0.00433333
2/29/24,0.02042154,0.02006000,0.05413100,-0.00965500,-0.01476000,0.00435000
3/31/24,0.00261769,-0.00767000,0.03225700,0.00469200,0.00901300,0.00437500
4/30/24,-0.00140416,0.00284000,-0.04400200,-0.01234100,-0.02475900,0.00435833
5/31/24,0.02051616,0.02276000,0.04724700,0.01086800,0.01668200,0.00437500
6/30/24,0.00021648,0.00451000,0.03095700,0.00778800,0.00883400,0.00437500
7/31/24,0.04557189,0.03578000,0.01858900,0.01759100,0.02420800,0.00435000
8/31/24,0.06308327,0.06791000,0.02176900,0.01099600,0.01459900,0.00429167
9/30/24,0.01303967,0.01730000,0.02068600,0.00977600,0.01331400,0.00415000
10/31/24,-0.01666448,-0.02173000,-0.00734400,-0.01531300,-0.02519200,0.00376667
11/30/24,0.04089931,0.03803000,0.06652400,0.00580900,0.01112500,0.00370000
12/31/24,-0.06065439,-0.05807000,-0.03056500,-0.00619900,-0.01691200,0.00365833
1/31/25,0.02905869,0.02554000,0.03156800,0.00644100,0.00516000,0.00352500
2/28/25,0.06580046,0.07006000,-0.01916400,0.02175400,0.02237400,0.00350000
3/31/25,0.01274326,0.02288000,-0.05833000,0.00059800,-0.00026700,0.00350000
4/30/25,-0.01385107,-0.01774000,-0.00670900,0.00647500,0.00430000,0.00350833
5/31/25,-0.00004500,-0.00291000,0.06338600,-0.00220400,-0.00605800,0.00350000
