Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,AGG,Risk_Free
6/30/23,0.03486936,0.03395,-0.003693,-0.007213,-0.003693,0.004
7/31/23,0.02400021,0.0206,-0.000153,0.000884,-0.000153,0.0045
8/31/23,-0.00124849,0.00908,-0.006299,0.000257,-0.006299,0.0045
9/30/23,-0.05075406,-0.04935,-0.025878,-0.010292,-0.025878,0.0043
10/31/23,0.02149163,0.02325,-0.015684,-0.00383,-0.015684,0.0047
11/30/23,0.03910492,0.03791,0.04589,0.022926,0.04589,0.0044
12/31/23,0.01291173,0.0175,0.036927,0.020393,0.036927,0.0043
1/31/24,0.03201892,0.03189,-0.001511,0.002587,-0.001511,0.0047
2/29/24,0.02042154,0.02006,-0.01476,-0.009655,-0.01476,0.0042
3/31/24,0.00261769,-0.00767,0.009013,0.004692,0.009013,0.0043
4/30/24,-0.00140416,0.00284,-0.024759,-0.012341,-0.024759,0.0047
5/31/24,0.02051616,0.02276,0.016682,0.010868,0.016682,0.0044
6/30/24,0.00021648,0.00451,0.008834,0.007788,0.008834,0.0041
7/31/24,0.04557189,0.03578,0.024208,0.017591,0.024208,0.0045
8/31/24,0.06308327,0.06791,0.014599,0.010996,0.014599,0.0048
9/30/24,0.01303967,0.0173,0.013314,0.009776,0.013314,0.004
10/31/24,-0.01666448,-0.02173,-0.025192,-0.015313,-0.025192,0.0039
11/30/24,0.04089931,0.03803,0.011125,0.005809,0.011125,0.004
12/31/24,-0.06065439,-0.05807,-0.016912,-0.006199,-0.016912,0.0037
1/31/25,0.02905869,0.02554,0.00516,0.006441,0.00516,0.0037
2/28/25,0.06580046,0.07006,0.022374,0.021754,0.022374,0.0033
3/31/25,0.01274326,0.02288,-0.000267,0.000598,-0.000267,0.0034
4/30/25,-0.01385107,-0.01774,0.0043,0.006475,0.0043,0.0035
5/31/25,-0.000045,-0.00291,-0.006058,-0.002204,-0.006058,0.0038
